../bba/After_3_Passes.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
109   W  -W                      QJ98.A974.K76.82 53.T852.Q432.AQ7 AT7.J6.AJ85.J943 K642.KQ3.T9.KT65 | P
110   W  3H-S       140          J85.A875.K2.KT93 AT96.K63.QJ9.J86 K2.QJ42.AT64.Q72 Q743.T9.8753.A54 | P-1C-P-1H-P-2H-P-3H
111   W  1H-N        80          K4.K643.J93.KT43 9752.QJ8.Q52.AJ7 QJT.A95.KT8.Q965 A863.T72.A764.82 | P-P-P-1C-P-1H
112   W  1S-N       110          J974.Q5.QJ42.AJ7 65.T6432.A5.QT65 A82.AJ7.T93.K432 KQT3.K98.K876.98 | P-P-P-1C-P-1S
113   W  -W                      K84.Q65.T932.KT9 Q93.K92.8654.AQ3 AJ52.T43.KQ7.J76 T76.AJ87.AJ.8542 | P
114   W  -W                      KJ63.AQ.T832.J87 T82.965.KQ95.A62 Q94.KJT87.76.KQ5 A75.432.AJ4.T943 | P
115   W  2H-S       110          854.A862.K3.KJ85 92.JT3.AQ72.AT42 AKT.Q974.T98.Q97 QJ763.K5.J654.63 | P-1C-P-1H-1S-2H
116   W  2S-W      -110          54.9642.AKQ9.T43 KQ72.T85.T82.KQ7 J6.KQJ3.J76.AJ65 AT983.A7.543.982 | P-P-P-1C-1S-X-2S
117   W  3H-S       140          982.QT97.QJ94.A3 KT5.65.K853.QJ65 643.AK832.A7.742 AQJ7.J4.T62.KT98 | P-P-P-1H-P-2C=1=-P-2H-P-3H | Reverse drury
118   W  1N-N       120          AQJ7.T852.Q73.J4 T842.K743.AJ.952 95.QJ9.KT94.AQ87 K63.A6.8652.KT63 | P-P-P-1D-P-1H-P-P-X-XX-1S-P-P-1N
119   W  1N-S        90          QJ92.97.KT95.Q74 K853.Q843.7.AJ82 76.AT2.AJ62.K965 AT4.KJ65.Q843.T3 | P-P-P-1D-P-1S-P-1N
120   W  2H-S       140          QJ3.842.A87.K732 T842.KQT.63.AT98 AK7.A9753.T942.6 965.J6.KQJ5.QJ54 | P-P-P-1H-P-2C=1=-P-2H | Reverse drury
121   W  2D-S       110          AJT.8732.932.AQ2 K865.J654.Q5.T97 72.Q9.AK876.KJ43 Q943.AKT.JT4.865 | P-P-P-1D-P-1H-P-2C-P-2D
122   W  1N-N        90          Q86.QJ4.QT84.Q75 T94.965.AJ3.AJT3 A75.AK72.9652.86 KJ32.T83.K7.K942 | P-P-P-1D-P-1N
123   W  1N-N       120          T92.J86.AKQ8.J93 65.Q943.J92.AQ87 AK87.A752.743.64 QJ43.KT.T65.KT52 | P-P-P-1D-P-1N
124   W  -W                      J.KQ95.Q874.K763 K985.JT62.KT.Q85 AQT7.83.A652.JT9 6432.A74.J93.A42 | P
125   W  2S-E       100          QT952.Q93.T64.K8 AJ43.T62.AJ73.J3 87.K85.K82.AQT52 K6.AJ74.Q95.9764 | P-P-1D-2C-X-P-2S
126   W  -W                      JT74.KQJ.643.A97 K962.T7.KQ7.T864 A53.A9632.J95.Q3 Q8.854.AT82.KJ52 | P
127   W  -W                      AKJ8.72.K983.T42 73.J963.QJ7.AQ53 Q654.KQ8.T62.KJ6 T92.AT54.A54.987 | P
128   W  3C-S       110          T62.AT7.543.AT76 KJ97.63.KQT.8543 Q4.KQ82.96.KQJ92 A853.J954.AJ872. | P-P-P-1C-1D-2C-2D-3C
129   W  2H-S       140          A873.A73.QJ4.543 K42.94.K52.JT872 J6.KQJ86.T83.KQ9 QT95.T52.A976.A6 | P-P-P-1H-P-2C=1=-P-2H | Reverse drury
130   W  2H-S       110          J62.JT9.J6543.A8 T874.Q.AKQ9.T932 AQ93.A7532.2.J75 K5.K864.T87.KQ64 | P-P-P-1H-P-2H
131   W  1N-E       -90          A643.632.T42.KJ6 Q72.JT4.QJ73.A94 T5.KQ9.AK985.753 KJ98.A875.6.QT82 | P-P-P-1D-X-1S-1N-P=1=-P-P | Max 2 !S
132   W  -W                      T96.K4.K974.J632 J43.AT93.J8.KQ85 A75.QJ72.A63.T94 KQ82.865.QT52.A7 | P
133   W  -W                      T6.K85.AT742.T72 8742.J7.KQ5.KQ64 J93.A932.J9.AJ83 AKQ5.QT64.863.95 | P
134   W  2D-S       110          J76.AJ95.JT73.Q2 54.Q432.AK6.JT97 AK83.7.9852.A853 QT92.KT86.Q4.K64 | P-P-P-1D-P-1H-P-1S-P-2D
135   W  2H-S      -100          K982.95.AT5.JT74 T765.KJ.K64.A862 AJ.A7642.QJ982.9 Q43.QT83.73.KQ53 | P-P-P-1H-P-1S-P-2D-P-2H
136   W  1N-N       -50          K83.8.98763.K873 7542.Q92.A54.AJ2 AT.AT743.KQT.965 QJ96.KJ65.J2.QT4 | P-P-P-1H-P-1N
137   W  1N-N        90          T3.KT42.K52.A953 A86.A9873.874.T6 KJ92.5.AT93.K742 Q754.QJ6.QJ6.QJ8 | P-P-P-1D-P-1H-P-1S-P-1N
138   W  2S-W      -140          K9.K742.842.K986 AQT7.J865.93.A32 62.Q93.AKQT6.JT4 J8543.AT.J75.Q75 | P-P-1C-1D-1S-2D-2S
139   W  2H-N       110          QJ32.AK92.42.T95 T75.7654.J76.AKJ 98.QJT8.AKQT.762 AK64.3.9853.Q843 | P-P-P-1D-P-1H-P-2H
140   W  1H-N        80          JT82.Q764.J.A863 K94.J98.A874.Q72 Q53.K52.K652.KJ5 A76.AT3.QT93.T94 | P-P-P-1D-P-1H
141   W  1N-E       100          Q764.AQ6.98.QJT5 95.K3.652.A98642 KJT.T752.AQJT4.7 A832.J984.K73.K3 | 1D-P-1N
142   W  -W                      AT7.Q753.J85.Q65 K862.J86.Q74.K32 Q94.T94.A93.AJT8 J53.AK2.KT62.974 | P
143   W  3H-S      -100          Q42.T53.T65.AQJ7 A765.KQ8.987.T95 T3.AJ762.AQJ3.62 KJ98.94.K42.K843 | P-P-P-1H-P-2H-P-P-X-P-2S-P-P-3H
144   W  1S-N       110          AQ86.874.JT72.KJ J52.T532.AQ98.T3 K97.A96.K5.Q6542 T43.KQJ.643.A987 | P-P-P-1C-P-1S
145   W  1N-S       120          K763.QT9.974.A86 J84.654.AQT.JT72 AQ.KJ8.K863.9543 T952.A732.J52.KQ | P-P-P-1D-P-1S-P-1N
146   W  2S-N       110          9754.K52.AQ2.J74 K632.97.KT75.A52 AQT8.AJ43.86.T83 J.QT86.J943.KQ96 | P-P-P-1C-P-1S-P-2S
147   W  1N-S       120          A753.KJ.Q97.9543 KJ92.974.K842.KJ T8.QT85.AJ3.AQ72 Q64.A632.T65.T86 | P-P-P-1C-P-1S-P-1N
148   W  3H-S       140          9873.KQ5.94.KJ64 T6.JT7.KQ83.AT72 KQ4.A98632.765.Q AJ52.4.AJT2.9853 | P-P-P-1H-X-2H-P-P-X-P-3C-3H
149   W  3D-S       130          KQ32.53.K765.KT3 AJ85.J862.9.7542 T74.A74.AQ842.Q6 96.KQT9.JT3.AJ98 | P-P-P-1D-P-1S-P-P-X-XX-2H-P-P-3D
150   W  1N-S        90          A9863.AT4.97.T86 QJ742.863.AT3.J2 5.KQJ9.J652.AQ97 KT.752.KQ84.K543 | P-P-P-1D-P-1S-P-1N
151   W  3S-S       140          AJ52.9763.J.KJ86 T76.K82.K54.A532 KQ98.QT.AT932.94 43.AJ54.Q876.QT7 | P-P-P-1D-P-1H-P-1S-P-3S
