..\bba\Opps_Bal_Unusual_2N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
155   S  3S-S       140          KT2.T64.Q6.Q7654 AJ7.K85.J85432.3 Q9864.AQJ92.7.A8 53.73.AKT9.KJT92 | 1S-P-2S-P-P-3C-P-P-3S
156   S  3C-W      -110          Q64.Q7.Q85.J8432 KJ8.K852.642.A75 AT952.AJT93.K73. 73.64.AJT9.KQT96 | 1S-P-2S-P-P-3C
157   S  2H-S       140          Q9854.AT4.J32.87 A76.K7.876.K6432 KT32.QJ863.A5.Q5 J.952.KQT94.AJT9 | 1H-P-2H
158   S  3S-S       -50          A75.JT963.82.K52 J42.K7.A743.J863 KT863.AQ85.K6.74 Q9.42.QJT95.AQT9 | 1S-P-2S-P-P-3D-3S
159   S  3S-S       170          KT3.AJ82.43.J754 865.Q543.A6.8632 AQJ97.T96.K852.A 42.K7.QJT97.KQT9 | 1S-P-2S-P-P-3D-P-P-X-P-3S
160   S  2H-S       170          KT54.Q53.A82.876 J73.AJ6.754.5432 A962.KT972.K6.KJ Q8.84.QJT93.AQT9 | 1H-P-2H
161   S  3H-S       140          KJ65.J96.6.K8654 Q942.A2.J83.Q732 A873.KQ543.K742. T.T87.AQT95.AJT9 | 1H-P-2H-P-P-3D-3H
162   S  3C-W        50          AJT42.873.7542.Q Q86.AJ6.Q63.8765 K97.KQT92.A8.J43 53.54.KJT9.AKT92 | 1H-P-2H-P-P-3C
163   S  2S-S       110          QT6.KQJ82.52.763 92.A976.AQ87.542 AK853.T43.643.AJ J74.5.KJT9.KQT98 | 1S-P-2S
164   S  2S-S       110          J65.AT94.K432.53 KT8.8652.J7.A874 AQ743.KQ3.865.Q2 92.J7.AQT9.KJT96 | 1S-P-2S
