/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Drury-GIB.pbn
board declarer contract score | notes
 443     N        4S     420  | 
 444     N        4S     650  | Cue bid, a !C stopper
 445     N        2H     170  | 
 446     N        4S     450  | 
 447     N        6H     1430 | Splinter
 448     N        4S     420  | Cue bid, surplus
 449     N        4H     450  | 1M-3M inviting
 450     N        4S     620  | 
 451     N        3H     140  | 
 452     N        4H     420  | 
 453     N        4S     620  | 
 454     S        3N     430  | 
 455     N        4S     420  | 1M-3M inviting
 456     N        2H     170  | 
 457     N        4H     450  | 1M-3M inviting
 458     N        4H     420  | 
 459     N        4S     420  | 
 460     N        4S     620  | 
 461     N        2S     140  | 
 462     N        4S     420  | 1M-3M inviting
 463     S        4S     650  | 
 464     N        4H     450  | 
 465     N        4S     420  | 
 466     N        6H     -100 | 
 467     N        3S     140  | 
 468     N        4S     450  | 1M-3M inviting
 469     N        4S     620  | 
 470     N        4H     420  | 
 471     N        4S     420  | 
 472     N        4H     450  | 
 473     N        4S     450  | 1M-3M inviting
 474     N        4H     420  | 1M-3M inviting
 475     N        4S     420  | 
 476     N        4S     650  | 1M-3M inviting
 477     S        1N     120  | 
 478     N        4S     450  | 
 479     N        4S     620  | 
 480     N        4H     420  | 
 481     S        4S     420  | Cue bid, surplus | Cue bid, a !C stopper
 482     N        4S     680  | 1M-3M inviting
 483     N        6S     -50  | Splinter | Blackwood 0314, for !S
 484     N        4S     420  | 1M-3M inviting
 485     N        4H     620  | 1M-3M inviting
 486     N        4H     420  | 1M-3M inviting
 487     N        4S     450  | 1M-3M inviting
 488     N        2S     170  | 
 489     N        4S     420  | 1M-3M inviting
 490     N        4H     450  | 1M-3M inviting
 491     N        4H     420  | 
 492     N        6S     1430 | Blackwood 0314, for !S
 493     N        4S     650  | 
 494     N        4H     420  | 
 495     N        6H     -100 | 
 496     N        4H     420  | 
 497     N        4H     420  | 
 498     N        4S     620  | 
 499     N        4S     450  | 1M-3M inviting
 500     N        4S     420  | 
Statistics for /Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Drury-GIB.pbn

nDeals = 499
nGames = 395
%Games = 79.15831663326654%

  130  1M-3M inviting
   12  Cue bid, a !C stopper
   28  Splinter
    6  Blackwood 0314, for !S
   17  Cue bid, surplus
    5  Cue bid, a !H stopper
    4  Cue bid, a !S stopper
    4  Cue bid, a !D stopper
    2  Blackwood 0314, for !H
    1  King ask by 5NT
