/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule18.csv
ID,Date,Board,North,South,East,West,Result,Score,IMPs,OptimumResult,ParScore,VsPar,DDBidding,DDPlay
91,2024.07.20,91,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"1N NS+1",120,-5,"We overbid - undoubled",-
92,2024.07.20,92,EPBot1,EPBot3,EPBot2,EPBot4,"4H N =",620,0.00%,"4H NS",620,0,"Par was bid",-
93,2024.07.20,93,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"4S NS+1",650,-2,"We missed game",+1
94,2024.07.20,94,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"3N NS+1",430,-10,"Par was bid",-2
95,2024.07.20,95,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-100,0.00%,"3N N",600,-12,"Par was bid",-1
96,2024.07.20,96,EPBot1,EPBot3,EPBot2,EPBot4,"4S N -1",-50,0.00%,"4S NS",420,-10,"Par was bid",-1
97,2024.07.20,97,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"3N NS",400,-10,"Par was bid",-1
98,2024.07.20,98,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-100,0.00%,"1N NS+1",120,-6,"We overbid - undoubled",-
99,2024.07.20,99,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"1S NS+2",140,-5,"We overbid - undoubled",-
100,2024.07.20,100,EPBot1,EPBot3,EPBot2,EPBot4,"1N N +1",120,0.00%,"1H NS+2",140,-1,"We missed best contract",-
101,2024.07.20,101,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"3N NS+1",630,-1,"Par was bid",-1
102,2024.07.20,102,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3N NS",400,0,"Par was bid",-
103,2024.07.20,103,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"1S NS+1",110,7,"We overbid - undoubled",+3
104,2024.07.20,104,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3N NS",400,0,"Par was bid",-
105,2024.07.20,105,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-50,0.00%,"2N NS",120,-5,"We overbid - undoubled",-
106,2024.07.20,106,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"1H NS+2",140,6,"We missed partial",+1
107,2024.07.20,107,EPBot1,EPBot3,EPBot2,EPBot4,"2N N +1",150,0.00%,"3N NS",400,-6,"We missed game",-
108,2024.07.20,108,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"3HX EW-1",100,11,"We overbid - undoubled",+1
109,2024.07.20,109,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-100,0.00%,"1N NS+1",120,-6,"We overbid - undoubled",-
110,2024.07.20,110,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"2N NS",120,0,"Par was bid",-
111,2024.07.20,111,EPBot1,EPBot3,EPBot2,EPBot4,"3S N =",140,0.00%,"3H EW",-140,7,"They missed double",+1
112,2024.07.20,112,EPBot1,EPBot3,EPBot2,EPBot4,"2N N =",120,0.00%,"1N NS+1",120,0,"Par was bid",-
113,2024.07.20,113,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"3C NS",110,7,"We overbid - undoubled",+2
114,2024.07.20,114,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",600,0.00%,"3N NS",600,0,"Par was bid",-
115,2024.07.20,115,EPBot1,EPBot3,EPBot2,EPBot4,"3H N =",140,0.00%,"2S EW+1",-140,7,"They missed double",+2
116,2024.07.20,116,EPBot1,EPBot3,EPBot2,EPBot4,"3N N =",400,0.00%,"1S NS+2",140,6,"We overbid - undoubled",+1
117,2024.07.20,117,EPBot1,EPBot3,EPBot2,EPBot4,"3N N -1",-100,0.00%,"3N NS",600,-12,"Par was bid",-1
